SKP2,-8.942024,-10.31359,-9.48746,-5.431102,-1.608272,-16.29173,-8.954258,-6.097132,-10.68043,-3.645525,-4.396524,-2.670834,-2.227986,-9.670217,3.319765,-5.910251,3.691087,10.54376,-10.23748,-5.572741,-1.271351,-7.136893,-8.791431,-3.22801,625.7556,515.4218,559.2071,438.0036,519.5313,601.8066
CDKN2A,35.33902,22.89315,28.58713,31.3415,28.84036,49.63036,32.92851,57.61275,68.42728,63.30516,1.519146,24.51696,24.55349,32.97694,31.99516,32.18008,17.36467,14.82626,24.87221,22.40628,23.88708,31.27522,22.83299,36.37662,22.70722,-0.7965906,9.251722,109.2638,40.41195,13.18519
CDKN2A,5.625208,17.97561,0.516432,5.544469,7.018008,34.53305,0.07652286,-0.7740493,-4.366136,29.62818,-3.107269,0.2922196,-9.871952,2.448358,3.001957,-3.315981,2.509997,-9.653113,53.1623,66.23019,40.36502,35.88041,37.67604,33.99657,2.192282,19.91268,27.88349,7.68321,11.89176,93.2638
CDKN2A,19.04055,11.60764,-3.492405,-5.332313,3.080325,5.511609,37.19129,9.915894,16.69205,0.6217438,29.51776,9.552566,11.67146,1.76826,12.47891,5.836939,5.672362,21.35796,11.51574,3.178,6.040048,23.72605,6.097323,14.88237,12.27019,17.12979,12.77699,367.591,14.20693,39.5088
CDKN2B,194.2088,226.6163,266.8716,215.8907,212.626,226.3561,228.6077,306.1325,175.7187,339.0307,190.2402,289.8823,228.8087,171.4273,174.7372,229.2719,218.6265,199.0901,261.4308,279.1205,256.878,198.3747,198.3747,197.9692,4.515965,44.62884,-2.114259,9.852143,22.39923,69.41788
CDKN2B,-7.560654,-7.102749,-7.401478,-6.7606,-8.499712,-6.55055,1.06662,-11.29845,-13.44254,-3.04114,-4.74461,-6.378643,1.824474,-1.036792,-15.20196,-11.59098,1.096878,-1.83722,0.3182506,3.842957,-7.797694,-6.717078,-7.673518,-1.357613,0.2357529,-1.371785,-2.557392,1.238337,-4.548324,20.972
CDKN2B,-1.831946,10.59121,-0.1088249,10.86014,20.29905,-1.059435,-2.045715,22.66663,-4.546587,0.1036543,0.4453209,-3.952922,27.36372,41.05554,8.032093,35.33902,28.22788,24.53887,56.72832,47.20453,45.06981,123.1168,104.6409,172.6173,19.37036,-2.328537,12.04653,131.5361,-4.047748,-2.051259
CDKN2C,-7.45966,6.652622,-6.138641,-9.422958,4.138675,-2.845646,-9.172916,-1.566034,-2.843382,-5.071431,-15.49966,-5.214518,-4.749177,0.4453209,10.78791,-2.922509,11.02633,-5.33519,-4.170292,4.715291,-11.52725,-5.69526,-9.670217,-6.674992,-3.934819,-3.762994,-5.928165,-10.12175,-10.03714,-10.8179
CDKN2C,204.6482,191.3447,253.968,267.5551,303.5395,218.865,328.5591,355.0919,439.9401,462.1355,411.1956,454.6858,448.2841,267.4914,382.2877,326.0426,368.7389,445.4192,359.3534,319.2508,357.0403,193.326,254.6597,173.9926,216.0814,115.6121,0.5562249,41.03496,15.9888,77.06754
CDKN2C,9.438222,2.28818,22.07042,8.662491,1.977277,5.673079,6.996052,19.64053,6.265329,1.163336,6.331182,-11.78264,8.182447,21.51644,20.71788,-7.114424,4.720956,2.756596,-0.2322746,0.7819873,-3.957846,-2.07318,-2.425759,-6.366216,127.2686,28.10269,142.7774,9.832296,9.878688,1.809055
